task,seed,verdict,success_rate,label_source,label_updated_at
balance,seed00,fail,0.0,manual,2026-08-18 20:00:00
balance,seed01,,,auto,2026-08-19 16:31:13
balance,seed02,,,auto,2026-08-19 16:31:13
balance_v1,seed00,fail,0.0,manual_curve,2026-08-19 10:04:10
balance_v1,seed01,fail,0.0,manual_curve,2026-08-19 10:04:10
balance_v1,seed02,fail,0.0,manual_curve,2026-08-19 10:04:10
full_chain,seed00,fail,0.0,manual,2026-08-18 20:00:00
full_chain,seed01,,,auto,2026-08-19 16:31:13
full_chain,seed02,,,auto,2026-08-19 16:31:13
full_chain_simple,seed00,,,auto,2026-08-19 16:31:13
full_chain_v1,seed00,fail,0.0,manual_curve,2026-08-19 10:04:10
traverse,seed00,,,auto,2026-08-19 16:31:13
traverse,seed01,fail,0.72,auto,2026-08-19 16:31:13
traverse,seed02,fail,0.6799999999999999,auto,2026-08-19 16:31:13
traverse_curve,seed00,fail,0.0,manual,2026-08-18 20:00:00
traverse_curve,seed01,,,auto,2026-08-19 16:31:13
traverse_curve,seed02,,,auto,2026-08-19 16:31:13
traverse_curve_v1,seed00,fail,0.0,manual_curve,2026-08-19 10:04:10
traverse_curve_v2,seed00,fail,0.0,manual_cheating_exposed,2026-08-19 11:22:24
traverse_curve_v3,seed00,fail,0.0,auto,2026-08-19 16:31:13
traverse_flat_slope,seed00,fail,0.0,formal_eval,2026-08-19 13:30:00
traverse_flat_slope,seed01,,,auto,2026-08-19 16:31:13
traverse_flat_slope,seed02,,,auto,2026-08-19 16:31:13
traverse_flat_slope_v1,seed00,fail,0.0,manual_curve,2026-08-19 10:04:10
traverse_slope,seed00,fail,0.0,formal_eval,2026-08-19 16:21:10
traverse_slope,seed01,,,auto,2026-08-19 16:31:13
traverse_slope,seed02,,,auto,2026-08-19 16:31:13
traverse_slope_v1,seed00,fail,0.0,manual_curve,2026-08-19 10:04:10
traverse_v1,seed00,,,auto,2026-08-19 16:31:13
traverse_v1,seed01,pass,1.0,manual_curve,2026-08-19 10:04:10
traverse_v1,seed02,pass,1.0,manual_curve,2026-08-19 10:04:10
traverse_curve_curriculum,s1,fail,0.0,formal_eval,2026-08-21 10:15:06
traverse_curve_curriculum,s2,fail,0.0,formal_eval,2026-08-21 10:15:06
traverse_curve_curriculum,s3,fail,0.0,formal_eval,2026-08-21 10:15:06
traverse_curve_curriculum,s4,fail,0.0,formal_eval,2026-08-21 10:15:06
