task,seed,label,verdict,success,success_rate,max_dev,min_clear,dual_hold,recovered,settle_seconds,distance,time_to_goal,falls,total_reward,mean_base_reward,nan
balance,seed00,RL PPO,pass,True,1.0,0.0137814719156279,0.4339423368475094,10.0,False,,,,0.0,99.94285289963054,0.9999428528996304,False
full_chain,seed00,RL PPO,fail,False,0.0,0.400348768495921,-0.0002765020114139,0.372,False,0.0,,,0.0,114.2344986845208,0.8864837091358663,False
traverse,seed01,RL PPO (bump),fail,True,1.0,0.0826127418658427,,0.0,False,,4.533489724400335,5.129999999999699,0.0,137.611612259356,0.9618171108212008,False
traverse,seed01,RL PPO (bumpy),fail,True,1.0,0.0889445134041499,,0.0,False,,4.541749114180869,5.385999999999712,0.0,137.5595548525621,0.9631832263795352,False
traverse,seed01,RL PPO (flat),fail,True,1.0,0.0923025131023517,,0.0,False,,4.528723695336572,4.897999999999689,0.0,137.8925110057259,0.9651497126964722,False
traverse,seed01,RL PPO (narrow),fail,False,0.0,0.0314996857179303,,0.0,False,,0.4966530473542258,,1.0,18.44334613734626,0.983967593690742,False
traverse,seed01,RL PPO (slope),fail,False,0.6,0.4003904860672213,,0.0,False,,3.1423134227341407,7.309999999999569,0.4,67.49431513684169,0.9161903008010932,False
traverse,seed02,RL PPO (bump),fail,True,1.0,0.0652960663729276,,0.0,False,,4.512015648906458,4.979999999999693,0.0,137.67008541942988,0.9593165070999248,False
traverse,seed02,RL PPO (bumpy),fail,True,1.0,0.1152514320552957,,0.0,False,,4.518432699538866,5.207999999999702,0.0,136.02437831837173,0.9541650939074582,False
traverse,seed02,RL PPO (flat),fail,True,1.0,0.0882834880463488,,0.0,False,,4.52222467656895,4.739999999999691,0.0,136.85890912726845,0.9542920016421664,False
traverse,seed02,RL PPO (narrow),fail,False,0.0,0.0277541637771918,,0.0,False,,0.5612156713052985,,1.0,6.543791577251118,0.9805738364402656,False
traverse,seed02,RL PPO (slope),fail,False,0.4,0.4083106433425499,,0.0,False,,2.419105074231606,4.630999999999712,0.6,30.14936530251294,0.7670582778109669,False
traverse_curve,seed00,RL PPO (curve),fail,False,0.0,0.4072922164292656,,0.0,False,,0.0,,1.0,-14.037431406468462,0.9150300741865202,False
traverse_curve_curriculum,seed00,RL PPO (curve),fail,False,0.0,0.0437545030025618,,0.0,False,,0.0,,1.0,-38.96232186630632,0.947351966067724,False
traverse_curve_v2,seed00,RL PPO (curve),pass,True,1.0,0.039833257254581,,0.0,False,,1.3651505244816178,5.741999999999727,0.0,132.71587543542506,0.9605863430775278,False
traverse_curve_v3,seed00,RL PPO (curve),fail,False,0.0,0.4023616704155735,,0.0,False,,0.0897059694058407,,1.0,-22.07782584762497,0.9315203549009916,False
traverse_flat_slope,seed00,RL PPO (flat_slope),fail,False,0.0,0.564739661771381,,0.0,False,,0.9162155730731388,,1.0,-7.289963482961665,0.95665807318729,False
traverse_slope,seed00,RL PPO (slope),fail,False,0.0,0.4008353028777955,,0.0,False,,0.8679497508058912,,1.0,-1.886371826223532,0.9581911067673474,False
