task,seed,decision_progress,label,fail_score,train_size,stop,confidence,reason,skipped,t_decision,t_end,t_end_method,minutes_saved,saved_yuan_compute,hit,false_kill
balance,seed00,0.5,unknown,0.2703,0,True,1.0,baseline: always stop,False,1786968851.5026617,1787021078.0,actual,870.4,36.27,False,False
balance,seed01,0.5,unknown,0.25,0,True,1.0,baseline: always stop,False,1786612697.270023,1787021078.0,task_mean,6806.3,283.6,False,False
traverse,seed00,0.5,unknown,0.3978,0,True,1.0,baseline: always stop,False,1786612697.270023,1786947289.9,task_mean,5576.5,232.36,False,False
traverse,seed01,0.5,fail,0.7764,0,True,1.0,baseline: always stop,False,1786929747.838529,1786956238.5,actual,441.5,18.4,True,False
traverse,seed02,0.5,fail,0.25,0,False,0.0,progress never reached,True,,,task_mean,0.0,0.0,False,False
balance,seed02,0.5,unknown,0.25,0,True,1.0,baseline: always stop,False,1786953737.8826191,1786957174.7,step_rate,57.3,2.39,False,False
full_chain,seed02,0.5,unknown,0.25,1,False,0.0,progress never reached,True,,,task_mean,0.0,0.0,False,False
full_chain,seed00,0.5,unknown,0.0735,1,False,0.0,progress never reached,True,,,actual,0.0,0.0,False,False
full_chain,seed01,0.5,unknown,0.25,1,False,0.0,progress never reached,True,,,task_mean,0.0,0.0,False,False
traverse_flat_slope,seed02,0.5,unknown,0.25,1,False,0.0,progress never reached,True,,,actual,0.0,0.0,False,False
traverse_flat_slope,seed01,0.5,unknown,0.25,1,False,0.0,progress never reached,True,,,actual,0.0,0.0,False,False
traverse_flat_slope,seed00,0.5,unknown,0.3297,1,False,0.0,progress never reached,True,,,step_rate,0.0,0.0,False,False
traverse_slope,seed00,0.5,unknown,0.6356,1,True,1.0,baseline: always stop,False,1786962835.0029688,1786969236.7,step_rate,106.7,4.45,False,False
traverse_curve,seed02,0.5,unknown,0.25,1,False,0.0,progress never reached,True,,,task_mean,0.0,0.0,False,False
traverse_curve,seed00,0.5,fail,0.55,1,False,0.0,progress never reached,True,,,actual,0.0,0.0,False,False
traverse_curve,seed01,0.5,unknown,0.25,1,False,0.0,progress never reached,True,,,task_mean,0.0,0.0,False,False
traverse_slope,seed01,0.5,unknown,0.25,1,False,0.0,progress never reached,True,,,actual,0.0,0.0,False,False
traverse_slope,seed02,0.5,unknown,0.25,1,False,0.0,progress never reached,True,,,actual,0.0,0.0,False,False
