task,seed,approx_kl_last,cpu_percent_max,ev_neg_streak,eval_drawdown,eval_last_reward,eval_last_timesteps,eval_peak_reward,eval_points,eval_slope_per_1e6,eval_std_recent,falls_mean,idle_minutes,max_dev_max,mem_percent_max,min_clear_min,nan_count,progress_ratio,report_rows,reward_peak_ratio,snapshot_count,stall_minutes,std_last,success_rate_mean,swap_percent_max,time_span_minutes,timesteps_growth,value_loss_divergent,verdict_fail_ratio,completed,verdict,success_rate,duration_seconds,label_source
balance,seed00,122376.375,100.0,0.0,1.1884,-18.8337,4000000.0,99.9821,80.0,-3.734,0.0219,0.0,35.6,0.0145,78.7,0.434,0.0,0.5,1.0,-0.1884,1276.0,358.8,0.0151,1.0,22.4,6026.6,4001792.0,0.0,,True,,,361593.61444854736,
balance,seed01,,100.0,,,,,,,,,,35.6,,74.1,,,,,,1457.0,359.2,,,13.7,6026.6,-5783552.0,,,False,,,361593.61444854736,
balance,seed02,,100.0,,,,,,,,,,35.6,,74.1,,,,,,667.0,299.3,,,0.0,400.7,-24576.0,,,False,,,24042.59281563759,
balance_v1,seed00,0.0048,,168.0,0.9836,0.9969,1350000.0,60.9547,27.0,0.0,0.0,,,,,,,,,0.0164,,,0.0095,,,,,0.0,,False,,,,
balance_v1,seed01,35899.0859,,0.0,1.735,-73.4874,3100000.0,99.9851,62.0,27.7485,0.7252,,,,,,,,,-0.735,,,0.0084,,,,,0.0,,False,,,,
balance_v1,seed02,0.2461,,0.0,0.8314,16.8542,5300000.0,99.9843,106.0,12.0155,0.4055,,,,,,,,,0.1686,,,0.1368,,,,,0.0,,False,,,,
full_chain,seed00,,99.6,,,,,,,,,,15.5,,69.2,,,,,,516.0,299.3,,,0.0,299.3,0.0,,,False,,,17955.830641269684,
full_chain,seed01,,99.6,,,,,,,,,,15.5,,69.2,,,,,,516.0,299.3,,,0.0,299.3,0.0,,,False,,,17955.830641269684,
full_chain,seed02,,99.6,,,,,,,,,,15.5,,69.2,,,,,,516.0,299.3,,,0.0,299.3,0.0,,,False,,,17955.830641269684,
full_chain_v1,seed00,,,,1.0651,-9.5776,4000.0,147.0269,4.0,-52201.5,78.3022,,,,,,,,,-0.0651,,,,,,,,,,False,,,,
traverse,seed00,0.0595,100.0,0.0,0.4595,67.3659,700000.0,124.6347,14.0,-263.5985,25.9768,,13.7,,78.7,,,0.0875,,0.5405,1100.0,359.2,0.428,,22.4,5725.7,-6134720.0,0.0,,False,,,343541.1870126724,
traverse,seed01,0.7347,100.0,0.0,0.522,66.8081,8000000.0,139.7564,160.0,71.819,70.1523,0.28,13.7,0.4004,78.7,,0.0,1.0,5.0,0.478,735.0,441.5,0.0597,0.72,22.4,5576.5,8003584.0,0.0,1.0,True,fail,,334592.6137354374,
traverse_curve,seed00,0.1237,99.6,0.0,0.4668,6.7386,1650000.0,12.6381,33.0,-8.1015,0.9555,,15.0,,69.2,,,,,0.5332,515.0,201.4,0.2095,,0.0,298.7,1662976.0,0.0,,False,,,17922.670515537262,
traverse_curve,seed01,,99.6,,,,,,,,,,15.0,,69.2,,,,,,515.0,298.7,,,0.0,298.7,0.0,,,False,,,17922.670515537262,
traverse_curve,seed02,,99.6,,,,,,,,,,15.0,,69.2,,,,,,515.0,298.7,,,0.0,298.7,0.0,,,False,,,17922.670515537262,
traverse_flat_slope,seed00,,99.6,,,,,,,,,,15.5,,69.2,,,,,,516.0,299.3,,,0.0,299.3,0.0,,,False,,,17955.830641269684,
traverse_flat_slope,seed01,,99.6,,,,,,,,,,15.5,,69.2,,,,,,516.0,299.3,,,0.0,299.3,0.0,,,False,,,17955.830641269684,
traverse_flat_slope,seed02,,99.6,,,,,,,,,,15.5,,69.2,,,,,,516.0,299.3,,,0.0,299.3,0.0,,,False,,,17955.830641269684,
traverse_slope,seed00,0.4112,99.6,0.0,0.9172,2.6154,5150000.0,31.5816,103.0,-27.7835,4.0801,,15.5,,69.2,,,1.2875,,0.0828,516.0,66.7,0.0884,,0.0,299.3,5185536.0,0.0,,False,,,17955.830641269684,
traverse_slope,seed01,,99.6,,,,,,,,,,15.0,,69.2,,,,,,515.0,298.7,,,0.0,298.7,0.0,,,False,,,17922.670515537262,
traverse_slope,seed02,,99.6,,,,,,,,,,15.0,,69.2,,,,,,515.0,298.7,,,0.0,298.7,0.0,,,False,,,17922.670515537262,
traverse_v1,seed00,0.0552,,0.0,0.4595,67.3659,700000.0,124.6347,14.0,-263.5985,25.9768,,,,,,,,,0.5405,,,0.4382,,,,,0.0,,False,,,,
traverse_v1,seed01,0.7347,,0.0,0.522,66.8081,8000000.0,139.7564,160.0,71.819,70.1523,,,,,,,,,0.478,,,0.0597,,,,,0.0,,True,,,,
traverse_v1,seed02,0.4131,,0.0,0.0482,133.0854,8000000.0,139.8208,160.0,413.955,47.5508,,,,,,,,,0.9518,,,0.0772,,,,,0.0,,True,,,,
