task,seed,approx_kl_last,cpu_percent_max,ev_neg_streak,eval_drawdown,eval_last_reward,eval_last_timesteps,eval_neg_ratio,eval_neg_ratio_recent,eval_peak_reward,eval_points,eval_slope_per_1e6,eval_std_recent,falls_mean,idle_minutes,max_dev_max,mem_percent_max,min_clear_min,nan_count,progress_ratio,report_rows,reward_peak_ratio,snapshot_count,stall_minutes,std_last,success_rate_mean,swap_percent_max,time_span_minutes,timesteps_growth,value_loss_divergent,verdict_fail_ratio,completed,verdict,success_rate,duration_seconds,label_source
balance,seed00,0.0212,100.0,0.0,1.0,-18.8337,4000000.0,0.4625,1.0,99.9821,80.0,-5.2404,0.0219,0.0,35.6,0.0145,78.7,0.434,0.0,0.5,1.0,-0.1884,1452.0,900.8,0.0151,1.0,22.4,6836.7,4001792.0,0.0,0.0,True,pass,,410200.2740764618,
balance,seed01,,100.0,,,,,,,,,,,,35.6,,74.1,,,,,,1496.0,359.2,,,13.7,6046.5,-5783552.0,,,False,,,362791.50980615616,
balance,seed02,,100.0,,,,,,,,,,,,35.6,,74.1,,,,,,706.0,319.2,,,0.0,420.7,-24576.0,,,False,,,25240.488173246384,
balance_v1,seed00,0.0048,,168.0,0.9836,0.9969,1350000.0,0.0,0.0,60.9547,27.0,-0.0,0.0,,,,,,,,,0.0164,,,0.0095,,,,,0.0,,False,,,,
balance_v1,seed01,0.032,,0.0,1.0,-73.4874,3100000.0,0.3065,1.0,99.9851,62.0,30.7732,0.7252,,,,,,,,,-0.735,,,0.0084,,,,,0.0,,False,,,,
balance_v1,seed02,0.2461,,0.0,0.8314,16.8542,5300000.0,0.4151,0.0,99.9843,106.0,24.9612,0.4055,,,,,,,,,0.1686,,,0.1368,,,,,0.0,,False,,,,
full_chain,seed00,0.0355,100.0,0.0,1.0,-9.4164,5900000.0,0.9875,1.0,146.9071,80.0,0.0578,0.0,,15.5,,69.2,,,,,-0.0641,692.0,319.2,0.0333,,0.0,1109.4,5905888.0,0.0,,True,,,66562.49026918411,
full_chain,seed01,,99.6,,,,,,,,,,,,15.5,,69.2,,,,,,555.0,319.2,,,0.0,319.2,0.0,,,False,,,19153.72599887848,
full_chain,seed02,,99.6,,,,,,,,,,,,15.5,,69.2,,,,,,555.0,319.2,,,0.0,319.2,0.0,,,False,,,19153.72599887848,
full_chain_v1,seed00,,,,1.0,-9.5776,4000.0,0.75,0.75,147.0269,4.0,-46981.32,78.3022,,,,,,,,,-0.0651,,,,,,,,,,False,,,,
