task,seed,approx_kl_last,cpu_percent_max,current_stall_minutes,early_low_reward,ev_neg_streak,eval_drawdown,eval_last_reward,eval_last_timesteps,eval_neg_ratio,eval_neg_ratio_recent,eval_peak_reward,eval_points,eval_slope_per_1e6,eval_std_recent,falls_mean,idle_minutes,kl_divergent,kl_divergent_streak,max_dev_max,mem_percent_max,min_clear_min,nan_count,neg_ratio_current,progress_ratio,report_rows,restart_count,reward_peak_ratio,snapshot_count,stall_minutes,std_last,success_rate_mean,swap_percent_max,time_span_minutes,timesteps_growth,value_loss_divergent,verdict_fail_ratio,completed,verdict,success_rate,duration_seconds,label_source
balance,seed00,0.0212,100.0,5115.9,0.0,0.0,1.0,-18.8337,4000000.0,0.4625,1.0,99.9821,80.0,-5.2404,0.0219,0.0,113.8,1.0,40.0,0.0138,78.7,0.4339,0.0,0.6981,0.5,1.0,3.0,-0.1884,3352.0,5115.9,0.0151,1.0,22.4,11051.8,4001792.0,0.0,0.0,True,fail,0.0,433594.1270768642,manual
balance,seed01,,100.0,319.2,,,,,,,,,,,,,35.6,,,,74.1,,,,,,3.0,,1496.0,359.2,,,13.7,6046.5,-5783552.0,,,False,,,362791.50980615616,auto
balance,seed02,,100.0,319.2,,,,,,,,,,,,,35.6,,,,74.1,,,,,,1.0,,706.0,319.2,,,0.0,420.7,-24576.0,,,False,,,25240.488173246384,auto
balance_v1,seed00,0.0048,,,0.0,168.0,0.9836,0.9969,1350000.0,0.0,0.0,60.9547,27.0,-0.0,0.0,,,0.0,0.0,,,,,0.0,,,,0.0164,,,0.0095,,,,,0.0,,False,,,,auto
balance_v1,seed01,0.032,,,0.0,0.0,1.0,-73.4874,3100000.0,0.3065,1.0,99.9851,62.0,30.7732,0.7252,,,1.0,22.0,,,,,0.3065,,,,-0.735,,,0.0084,,,,,0.0,,False,,,,auto
balance_v1,seed02,0.2461,,,0.0,0.0,0.8314,16.8542,5300000.0,0.4151,0.0,99.9843,106.0,24.9612,0.4055,,,0.0,0.0,,,,,0.4151,,,,0.1686,,,0.1368,,,,,0.0,,False,,,,auto
full_chain,seed00,0.0355,100.0,4286.7,,0.0,1.0,-9.4164,5900000.0,0.9875,1.0,146.9071,80.0,0.0578,0.0,0.0,113.8,0.0,0.0,0.4003,69.4,-0.0003,0.0,0.9875,,1.0,0.0,-0.0641,2592.0,4286.7,0.0333,0.0,0.0,5324.5,5905888.0,0.0,1.0,True,fail,0.0,89956.34326958656,manual
full_chain,seed01,,99.6,319.2,,,,,,,,,,,,,15.5,,,,69.2,,,,,,0.0,,555.0,319.2,,,0.0,319.2,0.0,,,False,,,19153.72599887848,auto
full_chain,seed02,,99.6,319.2,,,,,,,,,,,,,15.5,,,,69.2,,,,,,0.0,,555.0,319.2,,,0.0,319.2,0.0,,,False,,,19153.72599887848,auto
full_chain_simple,seed00,0.0074,100.0,2346.8,0.0,0.0,0.0251,511.9575,4000000.0,0.0125,0.0,525.1246,80.0,30.621,0.2618,,71.3,0.0,0.0,,63.7,,,0.0125,1.0,,0.0,0.9749,661.0,2346.8,2.8966,,0.0,2485.0,4005888.0,0.0,,True,,,149097.79251289368,auto
