task,seed,verdict,success_rate,duration_seconds,training_collapsed,best_step,best_step_ratio,collapse_step,collapse_ratio,stop_justified,data_quality,peak_reward,final_reward,eval_point_count
balance,seed00,fail,0.0,665807.635055542,True,1900000.0,0.475,2100000.0,0.525,True,good,99.9821,-18.8337,80
balance,seed01,,,362791.50980615616,False,,,,,False,insufficient,,,0
balance,seed02,,,25240.488173246384,False,,,,,False,insufficient,,,0
balance_v1,seed00,fail,0.0,,True,50000.0,0.037,100000.0,0.0741,True,good,60.9547,0.9969,27
balance_v1,seed01,fail,0.0,,True,1950000.0,0.629,2100000.0,0.6774,True,good,99.9851,-73.4874,62
balance_v1,seed02,fail,0.0,,True,1950000.0,0.3679,2150000.0,0.4057,True,good,99.9843,16.8542,106
full_chain,seed00,fail,0.0,322169.8512482643,True,1950000.0,0.3305,2000000.0,0.339,True,good,146.9071,-9.4164,80
full_chain,seed01,,,19153.72599887848,False,,,,,False,insufficient,,,0
full_chain,seed02,,,19153.72599887848,False,,,,,False,insufficient,,,0
full_chain_simple,seed00,,,151798.4216647148,False,3000000.0,0.75,,,False,good,525.1246,511.9575,80
full_chain_v1,seed00,fail,0.0,,True,1000.0,0.25,2000.0,0.5,True,insufficient,147.0269,-9.5776,4
traverse,seed00,,,343541.1870126724,False,550000.0,0.7857,,,False,good,124.6347,67.3659,14
traverse,seed01,fail,0.72,334592.6137354374,False,300000.0,0.0375,,,True,good,139.7564,66.8081,160
traverse,seed02,fail,0.6799999999999999,24070.4248046875,False,,,,,True,insufficient,,,0
traverse_curve,seed00,fail,0.0,322136.6911225319,True,400000.0,0.1,600000.0,0.15,True,good,7.4765,-6.0819,77
traverse_curve,seed01,,,19120.565873146057,False,,,,,False,insufficient,,,0
traverse_curve,seed02,,,19120.565873146057,False,,,,,False,insufficient,,,0
traverse_curve_curriculum,s1,fail,0.0,,False,250000.0,0.25,,,True,good,-23.3597,-33.6765,20
traverse_curve_curriculum,s2,fail,0.0,,False,1550000.0,0.7209,,,True,good,-13.1553,-21.0118,20
traverse_curve_curriculum,s3,fail,0.0,,False,2750000.0,0.8333,,,True,good,-13.7214,-15.7739,20
traverse_curve_curriculum,s4,fail,0.0,,False,3850000.0,0.8652,,,True,good,-13.619,-16.6751,20
traverse_curve_v1,seed00,fail,0.0,,True,50000.0,0.0125,100000.0,0.025,True,good,12.6381,-0.1642,80
traverse_curve_v2,seed00,fail,0.0,,False,1950000.0,0.4875,,,True,good,134.454,133.547,80
traverse_curve_v3,seed00,fail,0.0,,False,50000.0,0.0125,,,True,good,9.3944,-4.0148,80
traverse_flat_slope,seed00,fail,0.0,322169.8512482643,False,2300000.0,0.575,,,True,good,37.9506,7.334,66
traverse_flat_slope,seed01,,,19153.72599887848,False,,,,,False,insufficient,,,0
traverse_flat_slope,seed02,,,19153.72599887848,False,,,,,False,insufficient,,,0
traverse_flat_slope_v1,seed00,fail,0.0,,True,2350000.0,0.5875,2500000.0,0.625,True,good,41.9885,3.3709,80
traverse_slope,seed00,fail,0.0,322169.8512482643,False,5450000.0,0.6813,,,True,good,24.2945,8.1236,147
traverse_slope,seed01,,,19120.565873146057,False,,,,,False,insufficient,,,0
traverse_slope,seed02,,,19120.565873146057,False,,,,,False,insufficient,,,0
traverse_slope_v1,seed00,fail,0.0,,False,1900000.0,0.475,,,True,good,26.8397,-1.0171,45
traverse_v1,seed00,,,,False,550000.0,0.7857,,,False,good,124.6347,67.3659,14
traverse_v1,seed01,pass,1.0,,False,300000.0,0.0375,,,False,good,139.7564,66.8081,160
traverse_v1,seed02,pass,1.0,,False,250000.0,0.0312,,,False,good,139.8208,133.0854,160
