level,factor,trigger_count,n_pass,n_fail,n_unknown,hit_rate,false_kill_count,false_kill_rate,potential_false_kill_rate,avg_saved_minutes_fail,avg_saved_minutes_all,expected_net_saving_minutes,saved_yuan_compute_estimate,t_end_method_dist
R2,approx_kl,3,0,3,0,1.0,0,N/A (no pass samples),0.0,22602.0,22602.0,22602.0,941.75,actual:3
R2,drawdown,4,0,4,0,1.0,0,N/A (no pass samples),0.0,22602.0,22602.0,22602.0,941.75,actual:4
R2,early_low_reward,9,0,8,1,1.0,0,N/A (no pass samples),0.0,8475.8,7534.0,8475.8,313.92,no_snapshot:6;actual:3
R2,neg_ratio,3,0,3,0,1.0,0,N/A (no pass samples),0.0,22602.0,22602.0,22602.0,941.75,actual:3
R2,neg_ratio_current,3,0,3,0,1.0,0,N/A (no pass samples),0.0,22602.0,22602.0,22602.0,941.75,actual:3
R2,stagnation,3,0,3,0,1.0,0,N/A (no pass samples),0.0,22602.0,22602.0,22602.0,941.75,actual:3
R2,std,1,0,1,0,1.0,0,N/A (no pass samples),0.0,22602.0,22602.0,22602.0,941.75,actual:1
R2,std_reward_collapse,2,0,2,0,1.0,0,N/A (no pass samples),0.0,22602.0,22602.0,22602.0,941.75,actual:2
R3,drawdown,1,0,1,0,1.0,0,N/A (no pass samples),0.0,22602.0,22602.0,22602.0,941.75,actual:1
R3,kl_divergent,1,0,1,0,1.0,0,N/A (no pass samples),0.0,22602.0,22602.0,22602.0,941.75,actual:1
R3,neg_ratio,1,0,1,0,1.0,0,N/A (no pass samples),0.0,22602.0,22602.0,22602.0,941.75,actual:1
R3,neg_ratio_current,1,0,1,0,1.0,0,N/A (no pass samples),0.0,22602.0,22602.0,22602.0,941.75,actual:1
R3,std,1,0,1,0,1.0,0,N/A (no pass samples),0.0,22602.0,22602.0,22602.0,941.75,actual:1
