task,seed,approx_kl_last,cpu_percent_max,ev_neg_streak,eval_drawdown,eval_last_reward,eval_last_timesteps,eval_neg_ratio,eval_neg_ratio_recent,eval_peak_reward,eval_points,eval_slope_per_1e6,eval_std_recent,falls_mean,idle_minutes,max_dev_max,mem_percent_max,min_clear_min,nan_count,progress_ratio,report_rows,reward_peak_ratio,snapshot_count,stall_minutes,std_last,success_rate_mean,swap_percent_max,time_span_minutes,timesteps_growth,value_loss_divergent,verdict_fail_ratio,completed,verdict,success_rate,duration_seconds,label_source,data_quality,fail_reasons,training_collapsed,best_step,best_step_ratio,collapse_step,collapse_ratio,stop_justified,peak_reward,final_reward,eval_point_count
balance,seed00,0.0212,100.0,0.0,1.0,-18.8337,4000000.0,0.4625,1.0,99.9821,80.0,-5.2404,0.0219,0.0,35.6,0.0145,78.7,0.434,0.0,0.5,1.0,-0.1884,1705.0,1170.5,0.0151,1.0,22.4,7106.4,4001792.0,0.0,0.0,True,pass,1.0,426384.3529746533,auto,good,,True,1900000.0,0.475,2100000.0,0.525,True,99.9821,-18.8337,80
balance_v1,seed00,0.0048,,168.0,0.9836,0.9969,1350000.0,0.0,0.0,60.9547,27.0,-0.0,0.0,,,,,,,,,0.0164,,,0.0095,,,,,0.0,,False,,,,auto,good,,True,50000.0,0.037,100000.0,0.0741,True,60.9547,0.9969,27
balance_v1,seed01,0.032,,0.0,1.0,-73.4874,3100000.0,0.3065,1.0,99.9851,62.0,30.7732,0.7252,,,,,,,,,-0.735,,,0.0084,,,,,0.0,,False,,,,auto,good,,True,1950000.0,0.629,2100000.0,0.6774,True,99.9851,-73.4874,62
balance_v1,seed02,0.2461,,0.0,0.8314,16.8542,5300000.0,0.4151,0.0,99.9843,106.0,24.9612,0.4055,,,,,,,,,0.1686,,,0.1368,,,,,0.0,,False,,,,auto,good,,True,1950000.0,0.3679,2150000.0,0.4057,True,99.9843,16.8542,106
full_chain,seed00,0.0355,100.0,0.0,1.0,-9.4164,5900000.0,0.9875,1.0,146.9071,80.0,0.0578,0.0,,15.5,,69.2,,,,,-0.0641,945.0,341.3,0.0333,,0.0,1379.1,5905888.0,0.0,,True,,,82746.56916737556,auto,good,,True,1950000.0,0.3305,2000000.0,0.339,True,146.9071,-9.4164,80
traverse,seed00,0.0595,100.0,0.0,0.4595,67.3659,700000.0,0.5,0.0,124.6347,14.0,-460.1136,25.9768,,13.7,,78.7,,,0.0875,,0.5405,1100.0,359.2,0.428,,22.4,5725.7,-6134720.0,0.0,,False,,,343541.1870126724,auto,good,,False,550000.0,0.7857,,,False,124.6347,67.3659,14
traverse,seed01,0.7347,100.0,0.0,0.522,66.8081,8000000.0,0.0125,0.0,139.7564,160.0,38.2966,70.1523,0.28,13.7,0.4004,78.7,,0.0,1.0,5.0,0.478,735.0,441.5,0.0597,0.72,22.4,5576.5,8003584.0,0.0,1.0,True,fail,0.72,334592.6137354374,auto,good,,False,300000.0,0.0375,,,True,139.7564,66.8081,160
traverse_curve,seed00,0.5671,100.0,0.0,0.0067,133.547,4000000.0,0.1875,0.0,134.454,80.0,3.4894,0.2801,0.0,15.0,0.0398,69.2,,0.0,,1.0,0.9933,944.0,201.4,0.0919,1.0,0.0,1378.6,3989504.0,0.0,0.0,True,pass,1.0,82713.40904164314,auto,good,,False,1950000.0,0.4875,,,False,134.454,133.547,80
traverse_curve_v1,seed00,0.5671,,0.0,1.0,-0.1642,4000000.0,0.375,0.8,12.6381,80.0,5.7508,0.0,,,,,,,,,-0.013,,,0.0919,,,,,0.0,,True,,,,auto,good,,True,50000.0,0.0125,100000.0,0.025,True,12.6381,-0.1642,80
traverse_flat_slope_v1,seed00,0.3456,,0.0,0.9197,3.3709,4000000.0,0.075,0.0,41.9885,80.0,-24.8416,3.5614,,,,,,,,,0.0803,,,0.0975,,,,,0.0,,True,,,,auto,good,,True,2350000.0,0.5875,2500000.0,0.625,True,41.9885,3.3709,80
traverse_slope_v1,seed00,0.4286,,0.0,1.0,-1.0171,4000000.0,0.0667,0.2,26.8397,45.0,-20.513,4.4491,,,,,,,,,-0.0379,,,0.0861,,,,,0.0,,True,,,,auto,good,,False,1900000.0,0.475,,,False,26.8397,-1.0171,45
traverse_v1,seed00,0.0552,,0.0,0.4595,67.3659,700000.0,0.5,0.0,124.6347,14.0,-460.1136,25.9768,,,,,,,,,0.5405,,,0.4382,,,,,0.0,,False,,,,auto,good,,False,550000.0,0.7857,,,False,124.6347,67.3659,14
traverse_v1,seed01,0.7347,,0.0,0.522,66.8081,8000000.0,0.0125,0.0,139.7564,160.0,38.2966,70.1523,,,,,,,,,0.478,,,0.0597,,,,,0.0,,True,,,,auto,good,,False,300000.0,0.0375,,,False,139.7564,66.8081,160
traverse_v1,seed02,0.4131,,0.0,0.0482,133.0854,8000000.0,0.0,0.0,139.8208,160.0,243.7016,47.5508,,,,,,,,,0.9518,,,0.0772,,,,,0.0,,True,,,,auto,good,,False,250000.0,0.0312,,,False,139.8208,133.0854,160
