task,seed,approx_kl_last,cpu_percent_max,current_stall_minutes,early_low_reward,ev_neg_streak,eval_drawdown,eval_last_reward,eval_last_timesteps,eval_neg_ratio,eval_neg_ratio_recent,eval_peak_reward,eval_points,eval_slope_per_1e6,eval_std_recent,falls_mean,idle_minutes,kl_divergent,kl_divergent_streak,max_dev_max,mem_percent_max,min_clear_min,nan_count,neg_ratio_current,progress_ratio,report_rows,restart_count,reward_peak_ratio,snapshot_count,stall_minutes,std_last,success_rate_mean,swap_percent_max,time_span_minutes,timesteps_growth,value_loss_divergent,verdict_fail_ratio,completed,verdict,success_rate,duration_seconds,label_source,data_quality,fail_reasons,training_collapsed,best_step,best_step_ratio,collapse_step,collapse_ratio,stop_justified,peak_reward,final_reward,eval_point_count
balance,seed00,0.0212,100.0,11216.4,0.0,0.0,1.0,-18.8337,4000000.0,0.4625,1.0,99.9821,80.0,-5.2404,0.0219,0.0,2251.8,1.0,40.0,0.0138,69.4,0.4339,0.0,0.4625,0.5,1.0,0.0,-0.1884,5000.0,11216.4,0.0151,1.0,17.8,11216.4,0.0,0.0,0.0,True,fail,0.0,672984.7705287933,manual,good,,True,1900000.0,0.475,2100000.0,0.525,True,99.9821,-18.8337,80
balance_v1,seed00,0.0048,,,0.0,168.0,0.9836,0.9969,1350000.0,0.0,0.0,60.9547,27.0,-0.0,0.0,,,0.0,0.0,,,,,0.0,,,,0.0164,,,0.0095,,,,,0.0,,False,fail,0.0,,manual_curve,good,,True,50000.0,0.037,100000.0,0.0741,True,60.9547,0.9969,27
balance_v1,seed01,0.032,,,0.0,0.0,1.0,-73.4874,3100000.0,0.3065,1.0,99.9851,62.0,30.7732,0.7252,,,1.0,22.0,,,,,0.3065,,,,-0.735,,,0.0084,,,,,0.0,,False,fail,0.0,,manual_curve,good,,True,1950000.0,0.629,2100000.0,0.6774,True,99.9851,-73.4874,62
balance_v1,seed02,0.2461,,,0.0,0.0,0.8314,16.8542,5300000.0,0.4151,0.0,99.9843,106.0,24.9612,0.4055,,,0.0,0.0,,,,,0.4151,,,,0.1686,,,0.1368,,,,,0.0,,False,fail,0.0,,manual_curve,good,,True,1950000.0,0.3679,2150000.0,0.4057,True,99.9843,16.8542,106
full_chain,seed00,0.0355,100.0,11216.4,,0.0,1.0,-9.4164,5900000.0,0.9875,1.0,146.9071,80.0,0.0578,0.0,0.0,2251.8,0.0,0.0,0.4003,69.4,-0.0003,0.0,0.9875,,1.0,0.0,-0.0641,5000.0,11216.4,0.0333,0.0,17.8,11216.4,0.0,0.0,1.0,True,fail,0.0,672984.7705287933,manual,good,,True,1950000.0,0.3305,2000000.0,0.339,True,146.9071,-9.4164,80
full_chain_simple,seed00,0.0074,100.0,9621.6,0.0,0.0,0.0251,511.9575,4000000.0,0.0125,0.0,525.1246,80.0,30.621,0.2618,,2251.8,0.0,0.0,,67.1,,,0.0125,1.0,,0.0,0.9749,4020.0,9621.6,2.8966,,17.8,9759.8,4005888.0,0.0,,True,,,585586.1865077019,auto,good,,False,3000000.0,0.75,,,False,525.1246,511.9575,80
traverse,seed00,0.0595,,,0.0,0.0,0.4595,67.3659,700000.0,0.5,0.0,124.6347,14.0,-460.1136,25.9768,,,0.0,0.0,,,,,0.5,0.0875,,,0.5405,,,0.428,,,,,0.0,,False,,,,auto,good,,False,550000.0,0.7857,,,False,124.6347,67.3659,14
traverse,seed01,0.7347,,,0.0,0.0,0.522,66.8081,8000000.0,0.0125,0.0,139.7564,160.0,38.2966,70.1523,0.28,,1.0,1.0,0.4004,,,0.0,0.0125,1.0,5.0,,0.478,,,0.0597,0.72,,,,0.0,1.0,True,fail,0.72,,auto,good,,False,300000.0,0.0375,,,True,139.7564,66.8081,160
traverse_curve,seed00,0.5016,100.0,9922.0,1.0,0.0,1.0,-6.0819,4000000.0,0.6494,1.0,7.4765,77.0,-2.5324,0.0,1.0,2251.8,0.0,0.0,0.4073,69.4,,0.0,0.6494,1.0,1.0,1.0,-0.8135,4991.0,9922.0,0.097,0.0,17.8,11216.4,-5648.0,0.0,1.0,True,fail,0.0,672984.7705287933,manual,good,,True,400000.0,0.1,600000.0,0.15,True,7.4765,-6.0819,77
traverse_curve_curriculum,s1,0.1276,,,1.0,0.0,0.0,-33.6765,1000000.0,1.0,1.0,-23.3597,20.0,83.4998,0.8125,,,0.0,0.0,,,,,1.0,1.0,,,,,,0.1986,,,,,0.0,,True,fail,0.0,,formal_eval,good,,False,250000.0,0.25,,,True,-23.3597,-33.6765,20
traverse_curve_curriculum,s2,0.1165,,,,0.0,0.0,-21.0118,2150000.0,1.0,1.0,-13.1553,20.0,-18.1074,3.9513,,,0.0,0.0,,,,,1.0,2.15,,,,,,0.2766,,,,,0.0,,True,fail,0.0,,formal_eval,good,,False,1550000.0,0.7209,,,True,-13.1553,-21.0118,20
traverse_curve_curriculum,s3,0.1797,,,,0.0,0.0,-15.7739,3300000.0,1.0,1.0,-13.7214,20.0,-10.4296,2.6068,,,0.0,0.0,,,,,1.0,3.3,,,,,,0.2473,,,,,0.0,,True,fail,0.0,,formal_eval,good,,False,2750000.0,0.8333,,,True,-13.7214,-15.7739,20
traverse_curve_curriculum,s4,0.1996,,,,0.0,0.0,-16.6751,4450000.0,1.0,1.0,-13.619,20.0,-1.845,2.356,,,0.0,0.0,,,,,1.0,4.45,,,,,,0.2055,,,,,0.0,,True,fail,0.0,,formal_eval,good,,False,3850000.0,0.8652,,,True,-13.619,-16.6751,20
traverse_curve_high_level,seed02,0.0186,,,0.0,0.0,0.0059,282.8326,550000.0,0.3636,0.0,284.5159,11.0,-39.8832,0.0,0.0,,0.0,0.0,0.3355,,,0.0,0.3636,,1.0,,0.9941,,,0.5289,1.0,,,,0.0,0.0,True,pass,1.0,,auto,good,,False,50000.0,0.0909,,,False,284.5159,282.8326,11
